Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-03 00:00:00,WW_12,7.9,18.1,7.75,0.076,0.0,1.3,0.11,80.53,908.0,28.0,8.0,24.9,216.0,313.0,0.18,6.3,0.0,0.0,0.0,-----,<3.47,<5.12,170.0,-----,27.8,0.0,0.0,0.055,0.0412,0.09,0.085,0.0,0.0,85.39,67.9,0.0,0.0,0.0,0.0,0.0,0.94,0.026,0.0,0.0,37.53,31.367,0.1841,0.0386,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,
2010-05-03 00:00:00,WW_13,8.0,17.2,8.12,4.468,0.0,1.25,0.41,57.62,692.0,25.0,7.0,14.6,209.0,209.0,0.31,6.9,0.0,0.0,0.0,-----,<4.81,<6.54,200.0,-----,39.0,0.0,0.0,0.0412,0.0355,0.132,0.119,0.0,0.0,76.28,67.88,0.0,0.0,0.0,0.0,0.0,0.66,0.037,0.0,0.0,34.52,32.141,0.1105,0.0409,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,,,,,,
2010-05-03 00:00:00,WW_78,8.7,16.6,7.41,4.995,0.28,1.2,0.68,41.12,460.0,0.0,0.0,2.22,120.0,138.0,0.36,4.8,0.0,0.006,0.0021,-----,<3.35,<5.30,30.0,-----,1.6,0.0,0.0,0.0177,0.0148,0.104,0.094,0.0,0.0,50.44,41.14,0.0,0.0,0.0,0.0,0.0383,0.1,0.035,0.0,0.0,17.77,15.303,0.028,0.0228,0.0,-----,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2010-05-03 00:00:00,WW_17,9.2,17.9,8.18,3.17,0.0,1.37,0.34,55.49,722.0,27.0,8.0,15.4,191.0,245.0,0.26,6.2,0.0,0.0,0.0,-----,<2.07,<5.27,200.0,-----,53.4,0.0,0.0,0.0446,0.0359,0.117,0.105,0.0,0.0,72.04,59.76,0.0,0.0,0.0,0.0,0.0,0.54,0.041,0.0,0.0,31.42,27.206,0.0913,0.0157,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,,,,,,
2010-05-03 00:00:00,WW_19,8.1,17.8,8.07,3.103,0.0,1.29,0.36,49.45,654.0,29.0,7.0,15.7,167.0,218.0,0.28,6.1,0.0,0.0,0.0,-----,<4.38,5.81,330.0,-----,59.4,0.0,0.0,0.0375,0.0336,0.116,0.116,0.0,0.0,65.0,59.15,0.0,0.0,0.0,0.0,0.0,0.54,0.048,0.0,0.0,26.81,25.892,0.0848,0.0244,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,,,,,,
2010-05-03 00:00:00,WW_20,7.7,17.5,8.01,3.072,0.0,1.23,0.37,45.49,616.0,28.0,8.0,17.4,146.0,204.0,0.28,6.6,0.0,0.0,0.0,-----,<4.74,5.3,260.0,-----,41.6,0.0,0.0,0.0325,0.0264,0.12,0.111,0.0,0.0,56.05,45.91,0.0,0.0,0.0,0.0,0.0,0.6,0.04,0.0,0.0,22.37,19.598,0.0635,0.0151,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,,,,,,
2010-05-03 00:00:00,WW_24,8.0,17.0,7.03,3.47,0.13,1.4,0.61,82.89,930.0,48.0,9.0,32.0,161.0,339.0,0.31,5.6,0.0,0.0,0.0,-----,<3.67,7.0,410.0,370.0,23.2,0.0,0.0,0.0421,0.0374,0.136,0.124,0.0,0.0,78.32,76.11,0.0048,0.0,0.0,0.0,0.0,0.94,0.044,0.0,0.0,30.88,31.38,0.0962,0.0375,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,,,,,,
2010-05-03 00:00:00,WW_109,7.5,16.9,7.59,3.926,0.18,1.34,0.66,51.02,632.0,39.0,8.0,22.8,112.0,233.0,0.3,5.1,0.0,0.0,0.0,-----,<3.31,<5.39,990.0,990.0,13.0,0.0,0.0,0.0291,0.0254,0.123,0.113,0.0,0.0,53.09,50.78,0.0,0.0,0.0,0.0,0.0,0.84,0.067,0.0,0.0,19.92,20.018,0.0817,0.0426,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,,,,,,
